event_id,vendor,plant_id,generated_at,machine_id,line,event_time,ingestion_time,event_type,severity,vibration_mm_s,temperature_c,machine_status,sensor_health,confidence,operating_hours_today,firmware_version,gateway_id
MP-1010,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-003,LINE-B,2026-03-06T09:09:51Z,2026-03-06T09:10:51Z,NORMAL_READING,low,3.58,64.52,running,0.83,0.92,9.94,MP-FW-3.1,GW-A2
MP-1011,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-003,LINE-B,2026-03-06T02:30:08Z,2026-03-06T02:31:08Z,NORMAL_READING,low,3.9,,running,0.73,0.91,2.87,MP-FW-3.2,GW-C1
MP-1012,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-006,LINE-C,2026-03-10T20:06:25Z,2026-03-10T20:14:25Z,NORMAL_READING,low,1.08,74.01,running,1.0,0.76,8.65,MP-FW-3.1,GW-A1
MP-1013,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-007,LINE-C,2026-03-06T17:18:58Z,2026-03-06T17:25:58Z,NORMAL_READING,low,4.63,64.5,running,0.91,0.86,4.94,MP-FW-2.9,GW-B1
MP-1014,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-011,LINE-D,2026-02-27T08:00:00Z,2026-03-03T07:48:42Z,NORMAL_READING,low,3.48,68.01,idle,0.65,0.75,3.2,MP-FW-3.2,GW-A1
MP-1015,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-010,LINE-C,2026-03-05T04:54:18Z,2026-03-05T04:55:18Z,NORMAL_READING,low,2.13,64.84,running,0.7,0.65,3.19,MP-FW-3.1,GW-A2
MP-1016,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-003,LINE-B,2026-03-07T21:09:13Z,2026-03-07T21:10:13Z,NORMAL_READING,low,3.85,70.15,running,,0.84,7.4,MP-FW-3.2,GW-A2
MP-1017,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-009,LINE-A,2026-03-07T06:38:45Z,2026-03-07T06:41:45Z,NORMAL_READING,low,2.9,60.91,idle,0.96,0.77,0.65,MP-FW-3.2,GW-A2
MP-1018,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-008,LINE-B,2026-03-08T14:07:06Z,2026-03-08T14:11:06Z,NORMAL_READING,low,3.83,49.77,running,1.0,,8.52,MP-FW-3.2,GW-C1
MP-1019,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-009,LINE-A,2026-03-10T19:56:47Z,2026-03-10T20:00:47Z,NORMAL_READING,low,3.2,72.5,running,0.86,0.86,0.47,MP-FW-3.1,GW-C1
MP-1020,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-004,LINE-B,2026-03-10T20:01:04Z,2026-03-10T20:03:04Z,NORMAL_READING,low,2.62,67.76,idle,0.98,0.83,6.94,MP-FW-3.2,GW-B1
MP-1021,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-005,LINE-A,2026-03-06T19:39:07Z,2026-03-06T19:43:07Z,NORMAL_READING,low,3.98,59.7,running,0.88,0.83,9.78,MP-FW-2.9,GW-B1
MP-1022,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-006,LINE-C,2026-03-08T14:06:26Z,2026-03-08T14:11:26Z,NORMAL_READING,low,2.72,60.69,idle,0.99,0.78,7.06,MP-FW-3.2,GW-C1
MP-1023,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-005,LINE-A,2026-03-08T16:29:13Z,2026-03-08T16:35:13Z,NORMAL_READING,low,4.16,47.36,idle,0.9,0.88,1.87,MP-FW-3.1,GW-A2
MP-1024,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-012,LINE-B,2026-03-07T22:55:54Z,2026-03-07T22:59:54Z,NORMAL_READING,low,1.2,65.46,idle,0.92,0.99,9.0,MP-FW-3.1,GW-A2
MP-1025,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-009,LINE-A,2026-03-08T22:01:33Z,2026-03-08T22:07:33Z,NORMAL_READING,low,4.19,63.41,running,0.74,0.89,9.59,MP-FW-2.9,GW-C1
MP-1026,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-010,LINE-C,2026-03-09T11:04:55Z,2026-03-09T11:08:55Z,NORMAL_READING,low,1.65,65.09,idle,0.86,1.0,6.3,MP-FW-3.1,GW-A2
MP-1027,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-003,LINE-B,2026-03-08T21:29:09Z,2026-03-08T21:36:09Z,NORMAL_READING,low,4.44,64.41,idle,0.85,0.85,4.5,MP-FW-3.1,GW-B1
MP-1028,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-004,LINE-B,2026-03-05T10:29:54Z,2026-03-05T10:37:54Z,NORMAL_READING,low,1.66,59.68,idle,0.95,0.77,5.48,MP-FW-3.1,GW-A1
MP-1029,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-010,LINE-C,2026-03-07T17:37:36Z,2026-03-07T17:45:36Z,NORMAL_READING,low,4.41,65.2,running,0.91,0.91,3.05,MP-FW-3.1,GW-C1
MP-1030,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-001,LINE-A,2026-03-07T03:17:03Z,2026-03-07T03:18:03Z,NORMAL_READING,low,3.47,64.23,idle,0.9,0.85,5.45,MP-FW-3.2,GW-B1
MP-1031,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-002,LINE-A,2026-03-07T21:49:47Z,2026-03-07T21:56:47Z,NORMAL_READING,low,3.91,61.37,running,0.97,0.78,1.35,MP-FW-3.2,GW-A1
MP-1032,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-009,LINE-A,2026-03-07T10:32:50Z,2026-03-07T11:02:50Z,NORMAL_READING,low,2.73,67.2,running,0.98,0.9,8.19,MP-FW-3.2,GW-A2
MP-1033,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-008,LINE-B,2026-03-08T09:37:17Z,2026-03-08T09:39:17Z,NORMAL_READING,low,1.39,64.46,idle,0.86,1.0,4.0,MP-FW-3.2,GW-B1
MP-1034,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-002,LINE-A,2026-03-03T09:55:22Z,2026-03-03T09:59:22Z,NORMAL_READING,low,2.18,72.42,idle,0.95,0.75,7.5,MP-FW-3.2,GW-C1
MP-1035,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-009,LINE-A,2026-03-02T01:24:18Z,2026-03-02T01:31:18Z,NORMAL_READING,low,2.72,64.53,idle,0.8,0.78,2.81,MP-FW-2.9,GW-A2
MP-1036,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-004,LINE-B,2026-03-09T10:51:34Z,2026-03-09T10:56:34Z,NORMAL_READING,low,4.05,71.17,running,0.85,0.57,8.2,MP-FW-3.1,GW-B1
MP-1037,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-001,LINE-A,2026-03-01T14:53:35Z,2026-03-01T15:01:35Z,NORMAL_READING,low,3.21,59.05,running,0.89,0.85,9.49,MP-FW-3.2,GW-C1
MP-1038,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-001,LINE-A,2026-03-08T03:52:43Z,2026-03-08T03:59:43Z,NORMAL_READING,low,4.56,70.93,running,0.93,0.88,5.2,MP-FW-2.9,GW-C1
MP-1039,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-004,LINE-B,2026-03-08T01:34:03Z,2026-03-08T01:36:03Z,NORMAL_READING,low,4.11,60.68,running,0.88,0.88,3.46,MP-FW-3.2,GW-C1
MP-1040,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-001,LINE-A,2026-03-03T15:44:59Z,2026-03-03T15:49:59Z,NORMAL_READING,low,3.76,53.83,idle,0.9,0.78,3.68,MP-FW-2.9,GW-B1
MP-1041,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-005,LINE-A,2026-03-06T07:59:44Z,2026-03-06T08:06:44Z,NORMAL_READING,low,2.58,48.36,idle,0.8,0.81,9.92,MP-FW-2.9,GW-A1
MP-1042,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-012,LINE-B,2026-03-08T15:34:52Z,2026-03-08T15:37:52Z,NORMAL_READING,low,1.74,57.31,running,0.77,0.87,4.81,MP-FW-3.2,GW-A1
MP-1043,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-010,LINE-C,2026-03-04T18:03:26Z,2026-03-04T18:05:26Z,NORMAL_READING,low,2.77,76.04,idle,0.91,0.85,6.33,MP-FW-3.2,GW-A1
MP-1044,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-003,LINE-B,2026-03-05T02:47:39Z,2026-03-05T02:55:39Z,NORMAL_READING,low,2.09,54.81,running,0.88,0.89,6.42,MP-FW-2.9,GW-C1
MP-1045,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-002,LINE-A,2026-03-10T13:45:58Z,2026-03-10T13:53:58Z,NORMAL_READING,low,3.02,59.22,idle,0.85,0.99,5.94,MP-FW-3.1,GW-A1
MP-1046,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-004,LINE-B,2026-03-09T23:43:54Z,2026-03-09T23:51:54Z,NORMAL_READING,low,2.36,70.92,running,0.91,0.77,4.46,MP-FW-3.2,GW-A2
MP-1047,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-012,LINE-B,2026-03-03T17:12:36Z,2026-03-03T17:19:36Z,NORMAL_READING,low,3.6,72.32,running,0.84,0.94,0.62,MP-FW-2.9,GW-B1
MP-1048,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-010,LINE-C,2026-03-10T22:42:54Z,2026-03-10T22:45:54Z,NORMAL_READING,low,5.36,69.73,running,0.87,0.74,1.11,MP-FW-3.2,GW-C1
MP-1049,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-012,LINE-B,2026-03-08T03:09:45Z,2026-03-08T03:13:45Z,NORMAL_READING,low,3.61,60.83,running,0.89,0.99,5.21,MP-FW-2.9,GW-B1
MP-1050,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-010,LINE-C,2026-03-01T12:33:20Z,2026-03-01T12:36:20Z,NORMAL_READING,low,3.11,67.6,running,0.88,0.94,10.51,MP-FW-3.1,GW-A2
MP-1051,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-006,LINE-C,2026-03-03T21:21:29Z,2026-03-03T22:21:29Z,NORMAL_READING,low,2.22,50.87,running,0.98,0.75,5.36,MP-FW-3.2,GW-A2
MP-1052,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-012,LINE-B,2026-03-10T17:01:30Z,2026-03-11T05:01:30Z,NORMAL_READING,low,,69.79,idle,0.84,0.99,10.49,MP-FW-2.9,GW-C1
MP-1053,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-010,LINE-C,2026-03-04T06:09:49Z,2026-03-04T06:12:49Z,NORMAL_READING,low,2.6,58.52,idle,0.9,0.91,6.75,MP-FW-2.9,GW-A2
MP-1054,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-001,LINE-A,2026-03-04T08:35:20Z,2026-03-04T08:40:20Z,NORMAL_READING,low,3.66,64.85,idle,0.93,0.77,8.64,MP-FW-3.2,GW-A1
MP-1055,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-006,LINE-C,2026-03-01T20:33:09Z,2026-03-01T20:40:09Z,NORMAL_READING,low,4.53,54.59,running,1.0,0.8,6.81,MP-FW-2.9,GW-B1
MP-1056,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-002,LINE-A,2026-03-03T15:50:30Z,2026-03-03T16:50:30Z,NORMAL_READING,low,1.47,52.19,running,0.93,0.8,3.64,MP-FW-3.2,GW-A1
MP-1057,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-002,LINE-A,2026-03-07T02:47:08Z,2026-03-07T03:17:08Z,NORMAL_READING,low,2.53,53.32,idle,0.76,0.92,8.0,MP-FW-3.1,GW-C1
MP-1058,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-005,LINE-A,2026-03-03T16:28:54Z,2026-03-03T16:38:54Z,NORMAL_READING,low,4.76,67.34,idle,0.97,0.76,7.45,MP-FW-2.9,GW-A1
MP-1059,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-001,LINE-A,2026-03-04T19:04:15Z,2026-03-04T19:10:15Z,NORMAL_READING,low,3.57,58.04,idle,0.89,0.91,11.36,MP-FW-2.9,GW-B1
MP-1060,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-009,LINE-A,2026-03-02T06:01:42Z,2026-03-02T06:04:42Z,NORMAL_READING,low,4.1,66.16,running,0.87,0.83,6.0,MP-FW-3.1,GW-C1
MP-1061,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-006,LINE-C,2026-03-07T23:57:02Z,2026-03-07T23:59:02Z,NORMAL_READING,low,0.66,66.03,running,1.0,0.84,0.94,MP-FW-3.2,GW-B1
MP-1062,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-005,LINE-A,2026-03-07T19:07:33Z,2026-03-07T19:11:33Z,NORMAL_READING,low,1.96,64.35,running,0.89,0.79,8.44,MP-FW-3.2,GW-C1
MP-1063,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-004,LINE-B,2026-03-03T21:36:23Z,2026-03-03T21:51:23Z,NORMAL_READING,low,2.92,55.73,running,0.9,0.8,1.58,MP-FW-3.2,GW-C1
MP-1064,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-010,LINE-C,2026-03-09T04:53:03Z,2026-03-09T04:55:03Z,NORMAL_READING,low,2.57,58.71,idle,0.83,0.84,5.05,MP-FW-2.9,GW-A1
MP-1065,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-007,LINE-C,2026-03-08T11:37:53Z,2026-03-08T11:40:53Z,NORMAL_READING,low,4.26,62.87,running,0.95,0.8,8.63,MP-FW-3.1,GW-C1
MP-1066,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-005,LINE-A,2026-03-04T21:05:10Z,2026-03-05T01:05:10Z,NORMAL_READING,low,3.03,66.92,idle,0.74,0.72,4.88,MP-FW-3.1,GW-A1
MP-1067,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-004,LINE-B,2026-03-02T06:16:18Z,2026-03-02T06:26:18Z,NORMAL_READING,low,2.47,61.13,running,0.79,0.92,5.82,MP-FW-3.2,GW-A2
MP-1068,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-002,LINE-A,2026-03-07T01:25:45Z,2026-03-07T01:40:45Z,NORMAL_READING,low,5.37,67.22,running,0.8,0.88,0.44,MP-FW-3.2,GW-A2
MP-1069,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-009,LINE-A,2026-03-08T00:47:29Z,2026-03-08T00:57:29Z,NORMAL_READING,low,5.21,68.09,running,0.81,0.88,6.2,MP-FW-3.1,GW-B1
MP-1070,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-004,LINE-B,2026-03-10T07:37:41Z,2026-03-10T07:39:41Z,NORMAL_READING,low,3.45,65.36,running,0.9,0.89,5.27,MP-FW-2.9,GW-B1
MP-1071,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-010,LINE-C,2026-03-08T03:16:20Z,2026-03-08T05:16:20Z,NORMAL_READING,low,2.25,64.49,idle,0.86,0.92,7.48,MP-FW-3.1,GW-C1
MP-1072,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-006,LINE-C,2026-03-07T07:21:50Z,2026-03-07T07:22:50Z,NORMAL_READING,low,1.49,65.4,idle,0.92,0.97,7.5,MP-FW-3.1,GW-A2
MP-1073,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-008,LINE-B,2026-03-05T23:59:33Z,2026-03-06T00:05:33Z,NORMAL_READING,low,1.79,72.13,running,0.82,0.89,7.62,MP-FW-2.9,GW-A2
MP-1074,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-004,LINE-B,2026-03-07T15:07:42Z,2026-03-07T15:09:42Z,NORMAL_READING,low,4.22,59.42,idle,0.85,0.75,9.57,MP-FW-2.9,GW-A1
MP-1075,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-008,LINE-B,2026-03-05T19:37:32Z,2026-03-05T19:40:32Z,NORMAL_READING,low,4.34,62.59,running,0.81,0.98,8.55,MP-FW-2.9,GW-A1
MP-1076,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-008,LINE-B,2026-03-10T23:18:49Z,2026-03-10T23:21:49Z,NORMAL_READING,low,2.88,60.01,running,0.95,0.69,7.1,MP-FW-2.9,GW-C1
MP-1077,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-003,LINE-B,2026-03-03T17:18:19Z,2026-03-03T17:23:19Z,NORMAL_READING,low,3.99,59.76,idle,1.0,0.75,7.03,MP-FW-3.2,GW-A1
MP-1078,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-007,LINE-C,2026-03-10T22:41:23Z,2026-03-10T22:44:23Z,NORMAL_READING,low,3.08,54.98,running,0.85,1.0,10.71,MP-FW-3.2,GW-A1
MP-1079,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-005,LINE-A,2026-03-05T06:06:15Z,2026-03-05T06:12:15Z,NORMAL_READING,low,4.47,61.8,running,0.86,0.88,1.77,MP-FW-2.9,GW-C1
MP-1080,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-005,LINE-A,2026-03-01T01:26:57Z,2026-03-01T01:28:57Z,NORMAL_READING,low,4.16,62.5,running,0.76,0.79,7.24,MP-FW-3.1,GW-A1
MP-1081,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-010,LINE-C,2026-03-06T16:29:38Z,2026-03-06T16:33:38Z,NORMAL_READING,low,2.43,56.21,idle,0.93,0.92,10.97,MP-FW-2.9,GW-A1
MP-1082,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-005,LINE-A,2026-03-06T08:22:02Z,2026-03-06T08:24:02Z,NORMAL_READING,low,4.24,61.45,running,0.86,0.87,9.39,MP-FW-3.1,GW-C1
MP-1083,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-012,LINE-B,2026-03-06T10:40:40Z,2026-03-06T10:41:40Z,NORMAL_READING,low,3.55,59.99,running,0.93,0.86,0.61,MP-FW-2.9,GW-A2
MP-1084,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-004,LINE-B,2026-03-10T19:25:49Z,2026-03-10T19:33:49Z,NORMAL_READING,low,4.06,57.98,running,0.91,0.74,10.64,MP-FW-2.9,GW-B1
MP-1085,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-009,LINE-A,2026-03-09T06:32:27Z,2026-03-09T18:32:27Z,NORMAL_READING,low,0.15,70.26,running,0.81,0.82,5.25,MP-FW-2.9,GW-B1
MP-1086,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-007,LINE-C,2026-03-05T22:46:17Z,2026-03-05T22:47:17Z,NORMAL_READING,low,4.8,65.88,running,0.75,0.83,9.0,MP-FW-3.2,GW-B1
MP-1087,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-005,LINE-A,2026-03-07T10:53:02Z,2026-03-07T11:08:02Z,NORMAL_READING,low,2.24,48.8,running,0.85,0.85,5.84,MP-FW-3.2,GW-A1
MP-1088,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-003,LINE-B,2026-03-03T23:04:45Z,2026-03-03T23:06:45Z,NORMAL_READING,low,3.73,70.05,idle,0.96,0.78,9.75,MP-FW-3.2,GW-B1
MP-1089,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-008,LINE-B,2026-03-07T06:11:34Z,2026-03-07T06:26:34Z,NORMAL_READING,low,5.07,54.61,idle,0.85,0.69,0.5,MP-FW-2.9,GW-B1
MP-1090,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-006,LINE-C,2026-03-07T06:38:08Z,2026-03-07T06:40:08Z,NORMAL_READING,low,4.42,64.43,idle,0.86,0.72,1.65,MP-FW-2.9,GW-A2
MP-1091,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-009,LINE-A,2026-03-02T11:14:27Z,2026-03-02T11:20:27Z,NORMAL_READING,low,4.05,55.68,running,0.92,0.92,11.01,MP-FW-3.2,GW-A2
MP-1092,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-007,LINE-C,2026-03-07T23:46:34Z,2026-03-07T23:52:34Z,NORMAL_READING,low,2.73,61.94,idle,0.95,0.96,7.45,MP-FW-2.9,GW-B1
MP-1093,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-008,LINE-B,2026-03-09T17:25:36Z,2026-03-09T17:29:36Z,NORMAL_READING,low,3.2,60.99,idle,0.77,0.8,5.17,MP-FW-3.2,GW-C1
MP-1094,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-003,LINE-B,2026-03-07T21:39:09Z,2026-03-07T21:41:09Z,NORMAL_READING,low,4.02,57.98,running,0.92,0.83,3.48,MP-FW-3.2,GW-C1
MP-1095,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-003,LINE-B,2026-03-10T20:17:57Z,2026-03-10T20:25:57Z,NORMAL_READING,low,4.4,49.12,idle,0.83,1.0,11.12,MP-FW-3.1,GW-B1
MP-1096,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-001,LINE-A,2026-03-04T04:49:31Z,2026-03-04T04:56:31Z,NORMAL_READING,low,3.37,62.75,running,0.73,0.93,1.03,MP-FW-2.9,GW-C1
MP-1097,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-009,LINE-A,2026-03-04T04:22:52Z,2026-03-04T04:25:52Z,NORMAL_READING,low,3.74,63.96,running,0.9,0.75,3.96,MP-FW-3.2,GW-C1
MP-1098,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-002,LINE-A,2026-03-06T20:46:08Z,2026-03-06T20:52:08Z,NORMAL_READING,low,4.28,59.8,running,1.0,0.83,0.39,MP-FW-3.2,GW-A1
MP-1099,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-012,LINE-B,2026-03-07T15:23:19Z,2026-03-07T15:24:19Z,NORMAL_READING,low,2.69,59.3,idle,0.91,0.67,1.87,MP-FW-2.9,GW-A2
MP-1100,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-001,LINE-A,2026-03-08T23:17:07Z,2026-03-08T23:25:07Z,NORMAL_READING,low,4.35,62.62,running,0.83,0.88,3.87,MP-FW-2.9,GW-C1
MP-1101,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-006,LINE-C,2026-03-04T13:40:11Z,2026-03-04T13:45:11Z,NORMAL_READING,low,4.26,59.12,running,0.81,0.66,11.19,MP-FW-3.2,GW-B1
MP-1102,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-008,LINE-B,2026-03-08T20:28:45Z,2026-03-08T20:35:45Z,NORMAL_READING,low,2.98,67.07,idle,0.87,0.89,0.68,MP-FW-2.9,GW-A1
MP-1103,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-004,LINE-B,2026-03-06T00:47:41Z,2026-03-06T00:49:41Z,NORMAL_READING,low,3.39,57.84,idle,0.87,0.97,7.41,MP-FW-3.1,GW-A1
MP-1104,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-005,LINE-A,2026-03-09T03:53:30Z,2026-03-09T04:01:30Z,NORMAL_READING,low,3.15,59.04,idle,0.93,0.83,10.46,MP-FW-3.1,GW-A2
MP-1105,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-006,LINE-C,2026-03-09T05:27:54Z,2026-03-09T05:32:54Z,NORMAL_READING,low,,67.64,running,0.96,0.84,3.42,MP-FW-2.9,GW-C1
MP-1106,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-010,LINE-C,2026-03-02T12:38:54Z,2026-03-02T12:41:54Z,NORMAL_READING,low,3.11,72.8,running,0.93,0.93,7.1,MP-FW-2.9,GW-C1
MP-1107,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-009,LINE-A,2026-03-06T20:42:20Z,2026-03-06T21:12:20Z,NORMAL_READING,low,3.0,63.57,running,0.69,0.87,0.33,MP-FW-2.9,GW-B1
MP-1108,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-008,LINE-B,2026-03-01T16:57:42Z,2026-03-01T17:02:42Z,NORMAL_READING,low,2.77,62.76,idle,0.71,0.84,11.02,MP-FW-3.2,GW-A2
