outcome_id,machine_id,plant_id,line_id,outcome_start_at,outcome_end_at,outcome_type,downtime_minutes,defect_rate_pct,confirmed_root_cause,source_record,label_window_days
OUT-9022,MCH-003,PLANT_01,LINE-B,2026-03-04T04:42:00Z,2026-03-04T05:02:00Z,quality_defect_spike,20,8.77,vibration,manual_log,7
OUT-9023,MCH-002,PLANT_01,LINE-A,2026-03-14T02:04:00Z,2026-03-14T03:04:00Z,minor_stoppage,60,1.56,maintenance_adjustment,manual_log,7
OUT-9024,MCH-002,PLANT_01,LINE-A,2026-03-12T08:32:00Z,2026-03-12T10:32:00Z,unplanned_downtime,120,3.66,power_relay,manual_log,7
OUT-9025,MCH-007,PLANT_01,LINE-C,2026-03-09T05:56:00Z,2026-03-09T06:26:00Z,minor_stoppage,30,1.1,sensor_trip,manual_log,7
OUT-9026,MCH-006,PLANT_01,LINE-C,2026-03-16T14:00:00Z,2026-03-16T14:00:00Z,no_issue,0,0.69,none,manual_log,7
OUT-9027,MCH-001,PLANT_01,LINE-A,2026-03-12T08:14:00Z,2026-03-12T08:14:00Z,no_issue,0,0.74,none,manual_log,7
OUT-9028,MCH-002,PLANT_01,LINE-A,2026-03-04T01:50:00Z,2026-03-04T01:50:00Z,no_issue,0,0.12,none,MES,7
OUT-9029,MCH-010,PLANT_01,LINE-C,2026-03-15T23:37:00Z,2026-03-16T00:07:00Z,minor_stoppage,30,1.55,maintenance_adjustment,MES,7
OUT-9030,MCH-012,PLANT_01,LINE-B,2026-03-03T03:54:00Z,2026-03-03T04:09:00Z,minor_stoppage,15,2.01,unknown,maintenance_system,7
OUT-9031,MCH-010,PLANT_01,LINE-C,2026-03-12T20:07:00Z,2026-03-12T22:07:00Z,unplanned_downtime,120,6.34,belt_failure,MES,7
OUT-9032,MCH-004,PLANT_01,LINE-B,2026-03-08T06:33:00Z,2026-03-08T06:33:00Z,quality_defect_spike,0,3.91,operator_process,maintenance_system,7
OUT-9033,MCH-005,PLANT_01,LINE-A,2026-03-16T06:19:00Z,2026-03-16T07:19:00Z,minor_stoppage,60,0.66,sensor_trip,manual_log,7
OUT-9034,MCH-003,PLANT_01,LINE-B,2026-03-13T05:24:00Z,2026-03-13T08:24:00Z,unplanned_downtime,180,7.36,power_relay,manual_log,7
OUT-9035,MCH-012,PLANT_01,LINE-B,2026-03-03T05:07:00Z,2026-03-03T05:07:00Z,no_issue,0,0.48,none,manual_log,7
OUT-9036,MCH-008,PLANT_01,LINE-B,2026-03-12T22:44:00Z,2026-03-13T00:44:00Z,unplanned_downtime,120,4.99,bearing_failure,manual_log,7
OUT-9037,MCH-009,PLANT_01,LINE-A,2026-03-04T14:15:00Z,2026-03-04T14:45:00Z,minor_stoppage,30,1.33,unknown,MES,7
OUT-9038,MCH-011,PLANT_01,LINE-D,2026-03-15T19:59:00Z,2026-03-15T20:19:00Z,quality_defect_spike,20,7.25,thermal_variation,maintenance_system,7
OUT-9039,MCH-008,PLANT_01,LINE-B,2026-03-09T01:50:00Z,2026-03-09T01:50:00Z,no_issue,0,1.12,none,maintenance_system,7
OUT-9040,MCH-010,PLANT_01,LINE-C,2026-03-04T01:28:00Z,2026-03-04T02:13:00Z,minor_stoppage,45,0.83,maintenance_adjustment,manual_log,7
OUT-9041,MCH-002,PLANT_01,LINE-A,2026-03-07T20:48:00Z,2026-03-07T20:48:00Z,no_issue,0,0.91,none,MES,7
OUT-9042,MCH-011,PLANT_01,LINE-D,2026-03-05T09:40:00Z,2026-03-05T12:40:00Z,unplanned_downtime,180,3.8,unknown,maintenance_system,7
OUT-9043,MCH-001,PLANT_01,LINE-A,2026-03-12T10:27:00Z,2026-03-12T10:27:00Z,quality_defect_spike,0,7.76,operator_process,manual_log,7
OUT-9044,MCH-002,PLANT_01,LINE-A,2026-03-06T21:12:00Z,2026-03-06T21:57:00Z,minor_stoppage,45,2.69,sensor_trip,MES,7
OUT-9045,MCH-006,PLANT_01,LINE-C,2026-03-12T02:21:00Z,2026-03-12T02:21:00Z,no_issue,0,0.87,none,manual_log,7
OUT-9046,MCH-006,PLANT_01,LINE-C,2026-03-10T20:39:00Z,2026-03-10T23:39:00Z,unplanned_downtime,180,6.09,belt_failure,MES,7
OUT-9047,MCH-006,PLANT_01,LINE-C,2026-03-14T10:11:00Z,2026-03-14T10:11:00Z,no_issue,0,0.43,none,MES,7
OUT-9048,MCH-002,PLANT_01,LINE-A,2026-03-16T18:55:00Z,2026-03-16T20:25:00Z,unplanned_downtime,90,5.55,cooling_failure,maintenance_system,7
OUT-9049,MCH-006,PLANT_01,LINE-C,2026-03-12T08:32:00Z,2026-03-12T10:02:00Z,unplanned_downtime,90,2.99,bearing_failure,MES,7
OUT-9050,MCH-008,PLANT_01,LINE-B,2026-03-08T22:45:00Z,2026-03-08T22:55:00Z,quality_defect_spike,10,8.22,operator_process,MES,7
OUT-9051,MCH-004,PLANT_01,LINE-B,2026-03-05T00:57:00Z,2026-03-05T02:57:00Z,unplanned_downtime,120,6.75,bearing_failure,MES,7
OUT-9052,MCH-005,PLANT_01,LINE-A,2026-03-03T04:03:00Z,2026-03-03T04:48:00Z,minor_stoppage,45,2.61,unknown,maintenance_system,7
OUT-9053,MCH-012,PLANT_01,LINE-B,2026-03-11T16:25:00Z,2026-03-11T16:45:00Z,quality_defect_spike,20,7.89,vibration,manual_log,7
OUT-9054,MCH-002,PLANT_01,LINE-A,2026-03-15T19:07:00Z,2026-03-15T23:07:00Z,unplanned_downtime,240,4.2,power_relay,maintenance_system,7
OUT-9055,MCH-012,PLANT_01,LINE-B,2026-03-09T09:17:00Z,2026-03-09T09:32:00Z,minor_stoppage,15,3.49,power_variation,MES,7
OUT-9056,MCH-008,PLANT_01,LINE-B,2026-03-14T03:35:00Z,2026-03-14T03:50:00Z,minor_stoppage,15,0.8,sensor_trip,maintenance_system,7
OUT-9057,MCH-004,PLANT_01,LINE-B,2026-03-05T06:06:00Z,2026-03-05T06:16:00Z,quality_defect_spike,10,10.98,vibration,manual_log,7
OUT-9058,MCH-002,PLANT_01,LINE-A,2026-03-07T22:00:00Z,2026-03-07T22:00:00Z,no_issue,0,0.26,none,maintenance_system,7
OUT-9059,MCH-010,PLANT_01,LINE-C,2026-03-07T12:11:00Z,2026-03-07T12:11:00Z,no_issue,0,0.62,none,MES,7
OUT-9060,MCH-006,PLANT_01,LINE-C,2026-03-15T05:00:00Z,2026-03-15T05:00:00Z,no_issue,0,0.44,none,manual_log,7
OUT-9061,MCH-002,PLANT_01,LINE-A,2026-03-11T13:28:00Z,2026-03-11T13:28:00Z,no_issue,0,0.99,none,manual_log,7
OUT-9062,MCH-004,PLANT_01,LINE-B,2026-03-07T04:39:00Z,2026-03-07T04:39:00Z,no_issue,0,0.32,none,maintenance_system,7
OUT-9063,MCH-012,PLANT_01,LINE-B,2026-03-13T18:48:00Z,2026-03-13T19:48:00Z,minor_stoppage,60,2.62,unknown,manual_log,7
OUT-9064,MCH-001,PLANT_01,LINE-A,2026-03-11T22:56:00Z,2026-03-11T22:56:00Z,no_issue,0,0.65,none,MES,7
OUT-9065,MCH-001,PLANT_01,LINE-A,2026-03-10T20:21:00Z,2026-03-10T23:21:00Z,unplanned_downtime,180,6.9,bearing_failure,MES,7
OUT-9066,MCH-002,PLANT_01,LINE-A,2026-03-06T22:02:00Z,2026-03-06T22:02:00Z,no_issue,0,0.51,none,MES,7
OUT-9067,MCH-001,PLANT_01,LINE-A,2026-03-13T19:45:00Z,2026-03-13T19:45:00Z,no_issue,0,1.16,none,MES,7
OUT-9068,MCH-003,PLANT_01,LINE-B,2026-03-10T04:22:00Z,2026-03-10T04:52:00Z,quality_defect_spike,30,6.12,thermal_variation,manual_log,7
OUT-9069,MCH-008,PLANT_01,LINE-B,2026-03-13T17:37:00Z,2026-03-13T18:07:00Z,minor_stoppage,30,1.96,unknown,maintenance_system,7
OUT-9070,MCH-012,PLANT_01,LINE-B,2026-03-14T22:14:00Z,2026-03-14T22:59:00Z,minor_stoppage,45,2.6,maintenance_adjustment,maintenance_system,7
OUT-9071,MCH-007,PLANT_01,LINE-C,2026-03-15T17:10:00Z,2026-03-15T17:10:00Z,no_issue,0,0.66,none,MES,7
OUT-9072,MCH-011,PLANT_01,LINE-D,2026-03-13T06:42:00Z,2026-03-13T07:42:00Z,minor_stoppage,60,2.15,unknown,maintenance_system,7
OUT-9073,MCH-001,PLANT_01,LINE-A,2026-03-14T01:17:00Z,2026-03-14T03:17:00Z,unplanned_downtime,120,3.47,unknown,maintenance_system,7
OUT-9074,MCH-002,PLANT_01,LINE-A,2026-03-11T19:38:00Z,2026-03-11T19:48:00Z,quality_defect_spike,10,3.64,thermal_variation,maintenance_system,7
OUT-9075,MCH-004,PLANT_01,LINE-B,2026-03-12T18:11:00Z,2026-03-12T18:41:00Z,minor_stoppage,30,1.46,power_variation,maintenance_system,7
OUT-9076,MCH-005,PLANT_01,LINE-A,2026-03-03T11:00:00Z,2026-03-03T11:00:00Z,no_issue,0,1.18,none,maintenance_system,7
OUT-9077,MCH-001,PLANT_01,LINE-A,2026-03-10T11:00:00Z,2026-03-10T11:00:00Z,no_issue,0,0.71,none,manual_log,7
OUT-9078,MCH-006,PLANT_01,LINE-C,2026-03-13T18:39:00Z,2026-03-13T19:39:00Z,minor_stoppage,60,1.09,power_variation,manual_log,7
OUT-9079,MCH-004,PLANT_01,LINE-B,2026-03-09T22:26:00Z,2026-03-09T23:56:00Z,unplanned_downtime,90,2.66,bearing_failure,manual_log,7
OUT-9080,MCH-011,PLANT_01,LINE-D,2026-03-08T02:39:00Z,2026-03-08T02:39:00Z,no_issue,0,0.38,none,manual_log,7
OUT-9081,MCH-008,PLANT_01,LINE-B,2026-03-07T23:10:00Z,2026-03-08T02:10:00Z,unplanned_downtime,180,5.08,power_relay,MES,7
OUT-9082,MCH-002,PLANT_01,LINE-A,2026-03-16T06:45:00Z,2026-03-16T09:45:00Z,unplanned_downtime,180,5.29,power_relay,manual_log,7
OUT-9083,MCH-002,PLANT_01,LINE-A,2026-03-09T06:42:00Z,2026-03-09T06:57:00Z,minor_stoppage,15,3.26,sensor_trip,MES,7
OUT-9084,MCH-006,PLANT_01,LINE-C,2026-03-10T09:21:00Z,2026-03-10T11:21:00Z,unplanned_downtime,120,7.84,unknown,MES,7
OUT-9085,MCH-004,PLANT_01,LINE-B,2026-03-08T23:38:00Z,2026-03-09T02:38:00Z,unplanned_downtime,180,6.14,power_relay,MES,7
OUT-9086,MCH-005,PLANT_01,LINE-A,2026-03-10T04:09:00Z,2026-03-10T06:09:00Z,unplanned_downtime,120,3.94,unknown,maintenance_system,7
OUT-9087,MCH-008,PLANT_01,LINE-B,2026-03-10T01:45:00Z,2026-03-10T03:45:00Z,unplanned_downtime,120,2.52,belt_failure,MES,7
OUT-9088,MCH-002,PLANT_01,LINE-A,2026-03-04T14:04:00Z,2026-03-04T14:04:00Z,no_issue,0,1.06,none,maintenance_system,7
OUT-9089,MCH-007,PLANT_01,LINE-C,2026-03-12T07:22:00Z,2026-03-12T07:22:00Z,no_issue,0,0.44,none,manual_log,7
OUT-9090,MCH-008,PLANT_01,LINE-B,2026-03-16T23:20:00Z,2026-03-16T23:20:00Z,no_issue,0,1.15,none,MES,7
OUT-9091,MCH-001,PLANT_01,LINE-A,2026-03-05T14:47:00Z,2026-03-05T15:17:00Z,quality_defect_spike,30,5.2,unknown,MES,7
OUT-9092,MCH-001,PLANT_01,LINE-A,2026-03-07T19:53:00Z,2026-03-07T19:53:00Z,no_issue,0,0.36,none,MES,7
OUT-9093,MCH-010,PLANT_01,LINE-C,2026-03-11T16:25:00Z,2026-03-11T18:25:00Z,unplanned_downtime,120,1.38,unknown,maintenance_system,7
OUT-9094,MCH-008,PLANT_01,LINE-B,2026-03-15T18:56:00Z,2026-03-15T18:56:00Z,quality_defect_spike,0,3.24,thermal_variation,maintenance_system,7
OUT-9095,MCH-008,PLANT_01,LINE-B,2026-03-06T22:26:00Z,2026-03-06T22:46:00Z,quality_defect_spike,20,9.44,thermal_variation,MES,7
OUT-9096,MCH-002,PLANT_01,LINE-A,2026-03-11T04:19:00Z,2026-03-11T07:19:00Z,unplanned_downtime,180,1.17,bearing_failure,manual_log,7
OUT-9097,MCH-001,PLANT_01,LINE-A,2026-03-11T08:27:00Z,2026-03-11T14:27:00Z,unplanned_downtime,360,4.29,unknown,maintenance_system,7
OUT-9098,MCH-008,PLANT_01,LINE-B,2026-03-06T05:48:00Z,2026-03-06T11:48:00Z,unplanned_downtime,360,5.25,unknown,MES,7
OUT-9099,MCH-002,PLANT_01,LINE-A,2026-03-05T00:17:00Z,2026-03-05T03:17:00Z,unplanned_downtime,180,5.65,power_relay,MES,7
