readingId,source,site_code,response_time_epoch_ms,assetCode,productionLine,timestampMs,receivedAtEpochMs,alertCode,level,vibration_g,temperature_f,power_kw,is_active,signal_quality,vendorConfidencePct,device_fw_version,collector_id
TT-8816,ThermoTrack,PLANT_01,1773187800000,MCH-010,C,1772791310000,1772791550000,OK,2,0.245,130.2,18.22,true,FAIR,81,TT-5.5,COL-C
TT-8817,ThermoTrack,PLANT_01,1773187800000,MCH-006,C,1772342240000,1772342360000,OK,1,0.155,149.5,19.86,true,FAIR,80,TT-4.9,COL-A
TT-8818,ThermoTrack,PLANT_01,1773187800000,MCH-004,B,1773087723000,1773088443000,OK,2,0.246,145.4,60.66,true,GOOD,97,TT-4.9,COL-A
TT-8819,ThermoTrack,PLANT_01,1773187800000,MCH-009,A,1772958072000,1772958132000,OK,1,0.174,149.1,15.65,false,GOOD,88,TT-5.4,COL-A
TT-8820,ThermoTrack,PLANT_01,1773187800000,MCH-008,B,1773072626000,1773072986000,OK,1,0.132,130.9,70.08,true,GOOD,90,TT-5.4,COL-C
TT-8821,ThermoTrack,PLANT_01,1773187800000,MCH-007,C,1772603110000,1772603170000,OK,1,0.175,147.0,18.37,true,GOOD,92,TT-5.5,COL-C
TT-8822,ThermoTrack,PLANT_01,1773187800000,MCH-010,C,1772357141000,1772357321000,OK,2,0.197,136.0,26.01,true,FAIR,59,TT-4.9,COL-A
TT-8823,ThermoTrack,PLANT_01,1773187800000,MCH-011,D,1772554205000,1772554625000,OK,2,0.234,143.1,2.31,true,GOOD,84,TT-5.5,COL-A
TT-8824,ThermoTrack,PLANT_01,1773187800000,MCH-002,A,1773177136000,1773177196000,OK,1,0.232,146.2,50.74,false,GOOD,86,TT-4.9,COL-B
TT-8825,ThermoTrack,PLANT_01,1773187800000,MCH-004,B,1773066340000,1773066580000,OK,2,0.281,147.5,49.05,false,GOOD,97,TT-4.9,COL-A
TT-8826,ThermoTrack,PLANT_01,1773187800000,MCH-007,C,1772685092000,1772685512000,OK,1,0.184,139.5,16.38,true,FAIR,79,TT-5.5,COL-B
TT-8827,ThermoTrack,PLANT_01,1773187800000,MCH-003,B,1772579125000,1772584525000,OK,1,0.141,134.3,8.13,false,FAIR,61,TT-4.9,COL-C
TT-8828,ThermoTrack,PLANT_01,1773187800000,MCH-004,B,1773001243000,1773001543000,OK,1,0.233,161.8,50.18,true,GOOD,82,TT-5.4,COL-A
TT-8829,ThermoTrack,PLANT_01,1773187800000,MCH-010,C,1772526031000,1772526271000,OK,2,0.168,132.0,14.82,true,GOOD,82,TT-4.9,COL-A
TT-8830,ThermoTrack,PLANT_01,1773187800000,MCH-010,C,1772592839000,1772593259000,OK,1,0.244,141.1,23.7,false,GOOD,93,TT-5.5,COL-C
TT-8831,ThermoTrack,PLANT_01,1773187800000,MCH-001,A,1773080522000,1773080582000,OK,1,0.165,153.9,42.57,true,GOOD,97,TT-5.4,COL-A
TT-8832,ThermoTrack,PLANT_01,1773187800000,MCH-008,LINE-B,1772770735000,1772776135000,OK,2,0.127,142.6,71.18,true,GOOD,95,TT-5.5,COL-A
TT-8833,ThermoTrack,PLANT_01,1773187800000,MCH-012,B,1772890197000,1772890437000,OK,1,0.096,119.7,54.49,false,GOOD,96,TT-4.9,COL-A
TT-8834,ThermoTrack,PLANT_01,1773187800000,MCH-010,C,1773144474000,1773144834000,OK,2,0.114,127.6,17.74,true,FAIR,72,TT-5.5,COL-C
TT-8835,ThermoTrack,PLANT_01,1773187800000,MCH-010,C,1773037115000,1773058715000,OK,1,0.143,160.5,15.6,true,GOOD,95,TT-5.4,COL-C
TT-8836,ThermoTrack,PLANT_01,1773187800000,MCH-003,B,1772458521000,1772458701000,OK,2,0.224,137.0,14.53,false,FAIR,82,TT-5.4,COL-A
TT-8837,ThermoTrack,PLANT_01,1773187800000,MCH-009,A,1772712785000,1772713025000,OK,2,0.314,120.1,7.34,false,GOOD,92,TT-5.5,COL-C
TT-8838,ThermoTrack,PLANT_01,1773187800000,MCH-010,C,1772690195000,1772690315000,OK,2,0.16,123.0,18.93,true,FAIR,59,TT-4.9,COL-A
TT-8839,ThermoTrack,PLANT_01,1773187800000,MCH-010,C,1772819151000,1772819511000,OK,1,0.047,145.8,18.84,true,GOOD,91,TT-5.4,COL-C
TT-8840,ThermoTrack,PLANT_01,1773187800000,MCH-001,A,1772572348000,1772572588000,OK,1,0.132,135.0,36.77,true,GOOD,97,TT-4.9,COL-A
TT-8841,ThermoTrack,PLANT_01,1773187800000,MCH-008,B,1772354191000,1772354671000,OK,2,0.153,152.4,57.95,false,GOOD,94,TT-5.4,COL-B
TT-8842,ThermoTrack,PLANT_01,1773187800000,MCH-003,LINE-B,1772413685000,1772414165000,OK,1,0.198,141.9,11.74,true,GOOD,96,TT-5.5,COL-A
TT-8843,ThermoTrack,PLANT_01,1773187800000,MCH-001,A,1772449417000,1772449477000,OK,1,0.24,139.9,30.54,false,FAIR,77,TT-5.5,COL-A
TT-8844,ThermoTrack,PLANT_01,1773187800000,MCH-010,C,1772611614000,1772633214000,OK,1,0.179,160.8,21.34,true,GOOD,82,TT-5.4,COL-B
TT-8845,ThermoTrack,PLANT_01,1773187800000,MCH-001,A,1772502734000,1772502794000,OK,2,0.233,133.1,28.68,false,GOOD,93,TT-5.4,COL-C
TT-8846,ThermoTrack,PLANT_01,1773187800000,MCH-006,C,1773005243000,1773007043000,OK,1,0.184,142.3,22.51,true,FAIR,62,TT-5.4,COL-A
TT-8847,ThermoTrack,PLANT_01,1773187800000,MCH-002,A,1772883911000,1772884151000,OK,1,-0.01,158.4,42.81,true,FAIR,59,TT-5.4,COL-B
TT-8848,ThermoTrack,PLANT_01,1773187800000,MCH-001,A,1773097920000,1773098160000,OK,1,0.213,135.7,34.52,false,GOOD,88,TT-5.5,COL-B
TT-8849,ThermoTrack,PLANT_01,1773187800000,MCH-003,B,1772492664000,1772492904000,OK,1,0.199,150.0,10.07,true,GOOD,95,TT-5.5,COL-A
TT-8850,ThermoTrack,PLANT_01,1773187800000,MCH-010,C,1772722683000,1772723163000,OK,2,0.173,155.2,20.94,true,GOOD,89,TT-5.5,COL-C
TT-8851,ThermoTrack,PLANT_01,1773187800000,MCH-011,D,1772824136000,1772824316000,OK,2,0.119,129.0,10.97,true,GOOD,86,TT-5.4,COL-B
TT-8852,ThermoTrack,PLANT_01,1773187800000,MCH-004,B,1772599289000,1772599469000,OK,2,0.248,140.1,59.67,true,GOOD,84,TT-5.5,COL-C
TT-8853,ThermoTrack,PLANT_01,1773187800000,MCH-006,C,1772943844000,1772944084000,OK,2,0.084,124.7,25.79,true,GOOD,91,TT-4.9,COL-C
TT-8854,ThermoTrack,PLANT_01,1773187800000,MCH-005,A,1772582618000,1772584418000,OK,2,0.123,141.3,27.74,false,GOOD,92,TT-4.9,COL-C
TT-8855,ThermoTrack,PLANT_01,1773187800000,MCH-002,A,1773035506000,1773035806000,OK,2,0.154,138.8,46.87,true,FAIR,72,TT-5.4,COL-B
TT-8856,ThermoTrack,PLANT_01,1773187800000,MCH-007,C,1772571427000,1772571907000,OK,2,0.071,158.3,4.4,true,GOOD,90,TT-5.5,COL-A
TT-8857,ThermoTrack,PLANT_01,1773187800000,MCH-003,B,1772743660000,1772743840000,OK,2,0.124,137.3,16.47,true,GOOD,90,TT-4.9,COL-C
TT-8858,ThermoTrack,PLANT_01,1773187800000,MCH-005,A,1772362497000,1772362797000,OK,1,0.2,155.9,30.22,false,FAIR,81,TT-5.4,COL-A
TT-8859,ThermoTrack,PLANT_01,1773187800000,MCH-007,C,1772634588000,1772634888000,OK,1,0.254,172.6,11.29,true,GOOD,85,TT-5.5,COL-A
TT-8860,ThermoTrack,PLANT_01,1773187800000,MCH-003,B,1772922430000,1772922850000,OK,1,0.23,153.4,16.4,true,GOOD,89,TT-5.5,COL-C
TT-8861,ThermoTrack,PLANT_01,1773187800000,MCH-005,LINE-A,1772471027000,1772471387000,OK,2,0.239,128.9,36.74,true,FAIR,74,TT-5.5,COL-A
TT-8862,ThermoTrack,PLANT_01,1773187800000,MCH-008,B,1772914013000,1772914253000,OK,2,0.195,151.0,68.55,true,GOOD,97,TT-5.4,COL-C
TT-8863,ThermoTrack,PLANT_01,1773187800000,MCH-008,B,1772767785000,1772768025000,OK,1,0.138,152.1,61.59,false,GOOD,90,TT-5.4,COL-A
TT-8864,ThermoTrack,PLANT_01,1773187800000,MCH-010,C,1772957253000,1772957373000,OK,1,0.227,163.9,10.83,true,GOOD,83,TT-4.9,COL-B
TT-8865,ThermoTrack,PLANT_01,1773187800000,MCH-005,A,1772611389000,1772611629000,OK,2,0.156,171.3,30.45,false,GOOD,97,TT-5.4,COL-A
TT-8866,ThermoTrack,PLANT_01,1773187800000,MCH-009,A,1772515298000,1772515478000,OK,1,0.231,150.1,12.76,true,FAIR,62,TT-5.5,COL-A
TT-8867,ThermoTrack,PLANT_01,1773187800000,MCH-009,A,1772827792000,1772828152000,OK,1,0.053,144.9,10.1,true,GOOD,90,TT-5.5,COL-A
TT-8868,ThermoTrack,PLANT_01,1773187800000,MCH-008,B,1773024495000,1773024975000,OK,1,0.202,132.2,59.83,true,GOOD,94,TT-4.9,COL-B
TT-8869,ThermoTrack,PLANT_01,1773187800000,MCH-010,C,1772781941000,1772782121000,OK,2,0.198,129.7,22.13,true,FAIR,57,TT-5.5,COL-B
TT-8870,ThermoTrack,PLANT_01,1773187800000,MCH-002,A,1772728584000,1772728764000,OK,2,0.128,144.2,45.84,true,GOOD,86,TT-5.5,COL-A
TT-8871,ThermoTrack,PLANT_01,1773187800000,MCH-002,A,1772546457000,1772546637000,OK,2,0.179,157.1,44.11,true,GOOD,85,TT-5.4,COL-B
TT-8872,ThermoTrack,PLANT_01,1773187800000,MCH-006,LINE-C,1772703236000,1772703716000,OK,2,0.124,153.8,23.57,false,FAIR,64,TT-5.4,COL-A
TT-8873,ThermoTrack,PLANT_01,1773187800000,MCH-012,B,1772466707000,1772467067000,OK,2,0.247,150.3,47.37,true,GOOD,83,TT-4.9,COL-A
TT-8874,ThermoTrack,PLANT_01,1773187800000,MCH-010,C,1773068851000,1773069031000,OK,2,0.138,145.3,18.92,false,FAIR,65,TT-4.9,COL-C
TT-8875,ThermoTrack,PLANT_01,1773187800000,MCH-007,C,1772464689000,1772465109000,OK,1,0.229,151.5,14.08,true,GOOD,86,TT-4.9,COL-B
TT-8876,ThermoTrack,PLANT_01,1773187800000,MCH-012,B,1772530200000,1772530380000,OK,1,0.191,146.7,50.95,false,GOOD,97,TT-4.9,COL-B
TT-8877,ThermoTrack,PLANT_01,1773187800000,MCH-009,A,1772660139000,1772714139000,OK,2,0.268,120.8,11.74,false,GOOD,89,TT-5.5,COL-B
TT-8878,ThermoTrack,PLANT_01,1773187800000,MCH-003,B,1772823379000,1772823619000,OK,2,0.257,181.4,15.9,true,FAIR,62,TT-5.4,COL-A
TT-8879,ThermoTrack,PLANT_01,1773187800000,MCH-008,B,1772820443000,1772822243000,OK,2,0.177,132.5,64.2,true,FAIR,68,TT-5.5,COL-A
TT-8880,ThermoTrack,PLANT_01,1773187800000,MCH-005,A,1772353281000,1772353581000,OK,2,0.202,151.5,31.98,true,GOOD,87,TT-4.9,COL-B
TT-8881,ThermoTrack,PLANT_01,1773187800000,MCH-007,C,1773161885000,1773162065000,OK,1,0.273,155.6,19.98,true,GOOD,82,TT-5.4,COL-A
TT-8882,ThermoTrack,PLANT_01,1773187800000,MCH-004,B,1773152483000,1773152543000,OK,2,0.184,142.4,53.52,true,GOOD,88,TT-5.5,COL-B
TT-8883,ThermoTrack,PLANT_01,1773187800000,MCH-002,A,1772906478000,1772906838000,OK,1,0.204,136.5,50.01,true,GOOD,83,TT-4.9,COL-A
TT-8884,ThermoTrack,PLANT_01,1773187800000,MCH-008,B,1773119728000,1773120028000,OK,2,0.213,154.8,63.98,false,FAIR,62,TT-5.4,COL-C
TT-8885,ThermoTrack,PLANT_01,1773187800000,MCH-002,A,1772401263000,1772401683000,OK,1,0.308,179.2,49.5,true,GOOD,91,TT-5.5,COL-C
TT-8886,ThermoTrack,PLANT_01,1773187800000,MCH-001,A,1772477065000,1772477485000,OK,1,0.248,142.9,36.05,true,GOOD,92,TT-5.5,COL-C
TT-8887,ThermoTrack,PLANT_01,1773187800000,MCH-012,B,1772738382000,1772738562000,OK,2,0.277,139.8,51.72,true,GOOD,89,TT-5.5,COL-B
TT-8888,ThermoTrack,PLANT_01,1773187800000,MCH-010,C,1773031751000,1773031871000,OK,2,0.152,146.6,20.13,true,FAIR,61,TT-5.4,COL-B
TT-8889,ThermoTrack,PLANT_01,1773187800000,MCH-008,B,1773166427000,1773166907000,OK,2,0.056,140.1,70.5,false,GOOD,91,TT-5.4,COL-B
TT-8890,ThermoTrack,PLANT_01,1773187800000,MCH-004,B,1772723617000,1772723857000,OK,1,0.177,120.7,56.31,true,FAIR,75,TT-5.4,COL-C
TT-8891,ThermoTrack,PLANT_01,1773187800000,MCH-010,C,1772573005000,1772573725000,OK,2,0.223,,21.31,true,GOOD,95,TT-4.9,COL-C
TT-8892,ThermoTrack,PLANT_01,1773187800000,MCH-009,A,1773079058000,1773079478000,OK,1,0.29,129.2,12.11,false,FAIR,60,TT-4.9,COL-A
TT-8893,ThermoTrack,PLANT_01,1773187800000,MCH-001,A,1772745365000,1772745785000,OK,2,0.092,121.8,37.09,false,FAIR,61,TT-5.5,COL-A
TT-8894,ThermoTrack,PLANT_01,1773187800000,MCH-009,A,1772607079000,1772607379000,OK,1,0.184,151.2,13.07,true,GOOD,85,TT-5.5,COL-A
TT-8895,ThermoTrack,PLANT_01,1773187800000,MCH-006,C,1773144229000,1773144949000,OK,2,0.111,144.1,16.72,true,GOOD,84,TT-5.4,COL-B
TT-8896,ThermoTrack,PLANT_01,1773187800000,MCH-002,A,1773124604000,1773125024000,OK,1,0.111,118.0,46.21,false,GOOD,98,TT-5.4,COL-A
TT-8897,ThermoTrack,PLANT_01,1773187800000,MCH-003,B,1772949870000,1772950110000,OK,1,0.278,142.0,22.72,true,FAIR,69,TT-5.4,COL-C
TT-8898,ThermoTrack,PLANT_01,1773187800000,MCH-004,B,1772976539000,1772976659000,OK,2,0.059,137.6,51.67,true,GOOD,97,TT-4.9,COL-C
TT-8899,ThermoTrack,PLANT_01,1773187800000,MCH-009,A,1772440959000,1772441139000,OK,1,0.199,128.3,12.12,true,GOOD,94,TT-5.5,COL-B
TT-8900,ThermoTrack,PLANT_01,1773187800000,MCH-012,B,1772845163000,1772845343000,OK,1,0.254,125.3,50.07,true,GOOD,98,TT-5.4,COL-B
TT-8901,ThermoTrack,PLANT_01,1773187800000,MCH-002,A,1772582929000,1772583049000,OK,2,0.167,150.6,40.31,true,GOOD,91,TT-5.4,COL-B
TT-8902,ThermoTrack,PLANT_01,1773187800000,MCH-009,A,1772363239000,1772363299000,OK,2,0.143,154.0,13.99,false,GOOD,97,TT-5.5,COL-B
TT-8903,ThermoTrack,PLANT_01,1773187800000,MCH-006,C,1772583010000,1772583190000,OK,1,0.212,148.6,18.91,true,FAIR,62,TT-5.4,COL-C
TT-8904,ThermoTrack,PLANT_01,1773187800000,MCH-006,C,1772591856000,1772592156000,OK,1,0.117,136.2,22.14,true,GOOD,94,TT-4.9,COL-B
TT-8905,ThermoTrack,PLANT_01,1773187800000,MCH-003,B,1772929134000,1772929314000,OK,1,0.168,136.1,17.83,true,GOOD,85,TT-5.4,COL-C
TT-8906,ThermoTrack,PLANT_01,1773187800000,MCH-001,A,1772568947000,1772569307000,OK,1,0.178,142.9,28.97,true,GOOD,82,TT-5.5,COL-A
TT-8907,ThermoTrack,PLANT_01,1773187800000,MCH-005,A,1772467726000,1772467966000,OK,1,0.216,137.2,25.02,false,GOOD,88,TT-5.5,COL-B
TT-8908,ThermoTrack,PLANT_01,1773187800000,MCH-011,D,1772753223000,1772753343000,OK,2,0.227,158.4,8.09,true,GOOD,86,TT-5.4,COL-B
TT-8909,ThermoTrack,PLANT_01,1773187800000,MCH-009,A,1772788430000,1772788910000,OK,1,0.133,139.3,9.31,false,GOOD,86,TT-4.9,COL-B
TT-8910,ThermoTrack,PLANT_01,1773187800000,MCH-005,A,1772865572000,1772865872000,OK,1,0.128,159.8,34.07,false,GOOD,82,TT-5.4,COL-A
TT-8911,ThermoTrack,PLANT_01,1773187800000,MCH-010,C,1772571051000,1772571171000,OK,1,0.184,127.2,14.82,false,GOOD,95,TT-5.4,COL-B
TT-8912,ThermoTrack,PLANT_01,1773187800000,MCH-003,LINE-B,1772429866000,1772430226000,OK,2,0.152,142.7,13.86,false,GOOD,88,TT-5.4,COL-B
TT-8913,ThermoTrack,PLANT_01,1773187800000,MCH-004,B,1773069255000,1773069495000,OK,2,0.116,145.5,49.35,true,FAIR,58,TT-5.5,COL-C
TT-8914,ThermoTrack,PLANT_01,1773187800000,MCH-002,A,1773048673000,1773049153000,OK,1,0.145,142.7,45.79,true,FAIR,65,TT-4.9,COL-A
TT-8915,ThermoTrack,PLANT_01,1773187800000,MCH-002,A,1772569310000,1772569550000,OK,1,0.268,,39.34,false,FAIR,58,TT-4.9,COL-C
TT-8916,ThermoTrack,PLANT_01,1773187800000,MCH-003,B,1772889077000,1772889137000,OK,1,0.158,135.0,19.64,true,GOOD,88,TT-5.4,COL-C
TT-8917,ThermoTrack,PLANT_01,1773187800000,MCH-001,A,1772499552000,1772499912000,OK,1,0.196,154.5,39.05,false,GOOD,91,TT-5.4,COL-C
TT-8918,ThermoTrack,PLANT_01,1773187800000,MCH-001,A,1772479590000,1772479830000,OK,2,0.205,156.6,35.19,false,GOOD,86,TT-5.5,COL-A
TT-8919,ThermoTrack,PLANT_01,1773187800000,MCH-008,B,1772486537000,1772487017000,OK,2,0.207,140.4,69.93,false,GOOD,90,TT-4.9,COL-A
TT-8920,ThermoTrack,PLANT_01,1773187800000,MCH-001,A,1772613744000,1772667744000,VIBRATION_WARN,4,0.747,197.9,33.6,true,GOOD,85,TT-5.5,COL-C
TT-8921,ThermoTrack,PLANT_01,1773187800000,MCH-004,B,1773048352000,1773048472000,VIBRATION_WARN,3,0.645,168.7,66.64,true,FAIR,65,TT-4.9,COL-A
TT-8922,ThermoTrack,PLANT_01,1773187800000,MCH-001,A,1772649635000,1772649875000,VIBRATION_WARN,3,0.348,167.5,37.41,true,POOR,29,TT-4.9,COL-B
TT-8923,ThermoTrack,PLANT_01,1773187800000,MCH-001,A,1773031900000,1773031960000,VIBRATION_WARN,3,0.539,149.2,41.47,true,FAIR,57,TT-5.4,COL-C
TT-8924,ThermoTrack,PLANT_01,1773187800000,MCH-008,B,1772899085000,1772899145000,VIBRATION_WARN,3,0.661,157.2,62.65,true,GOOD,82,TT-5.5,COL-B
TT-8925,ThermoTrack,PLANT_01,1773187800000,MCH-005,A,1772436410000,1772436590000,VIBRATION_WARN,4,0.752,151.0,43.45,true,POOR,59,TT-5.4,COL-B
TT-8926,ThermoTrack,PLANT_01,1773187800000,MCH-005,A,1772362892000,1772363252000,VIBRATION_WARN,4,0.899,,34.37,true,GOOD,84,TT-5.5,COL-C
TT-8927,ThermoTrack,PLANT_01,1773187800000,MCH-001,A,1772694516000,1772694696000,VIBRATION_WARN,3,0.558,175.2,38.48,true,FAIR,78,TT-4.9,COL-C
TT-8928,ThermoTrack,PLANT_01,1773187800000,MCH-001,A,1772784963000,1772838963000,VIBRATION_WARN,4,0.864,169.8,44.95,true,POOR,37,TT-5.4,COL-A
TT-8929,ThermoTrack,PLANT_01,1773187800000,MCH-008,B,1772571773000,1772572253000,VIBRATION_WARN,3,0.824,139.5,68.66,true,FAIR,71,TT-5.5,COL-C
TT-8930,ThermoTrack,PLANT_01,1773187800000,MCH-008,B,1772842601000,1772842781000,VIBRATION_WARN,3,0.426,154.2,71.63,true,GOOD,91,TT-5.4,COL-A
TT-8931,ThermoTrack,PLANT_01,1773187800000,MCH-001,A,1772735868000,1772735928000,VIBRATION_WARN,3,0.376,186.3,34.9,true,FAIR,75,TT-5.4,COL-B
TT-8932,ThermoTrack,PLANT_01,1773187800000,MCH-009,A,1772690568000,1772690748000,VIBRATION_WARN,4,0.73,168.5,14.69,true,POOR,25,TT-5.5,COL-B
TT-8933,ThermoTrack,PLANT_01,1773187800000,MCH-005,A,1773101837000,1773102017000,VIBRATION_WARN,4,0.345,161.3,20.88,true,GOOD,90,TT-5.5,COL-C
TT-8934,ThermoTrack,PLANT_01,1773187800000,MCH-008,B,1772383723000,1772383963000,VIBRATION_WARN,4,0.682,191.7,71.14,true,GOOD,93,TT-5.5,COL-C
TT-8935,ThermoTrack,PLANT_01,1773187800000,MCH-005,A,1773020047000,1773020107000,VIBRATION_WARN,4,0.711,132.7,34.9,true,POOR,57,TT-5.4,COL-C
TT-8936,ThermoTrack,PLANT_01,1773187800000,MCH-004,B,1772807413000,1772807593000,VIBRATION_WARN,3,0.485,151.9,61.98,true,FAIR,70,TT-5.5,COL-A
TT-8937,ThermoTrack,PLANT_01,1773187800000,MCH-005,A,1772815434000,1772815554000,VIBRATION_WARN,4,0.796,136.7,33.23,true,FAIR,58,TT-5.4,COL-C
TT-8938,ThermoTrack,PLANT_01,1773187800000,MCH-004,B,1772336055000,1772336175000,VIBRATION_WARN,4,0.747,152.1,66.38,true,POOR,59,TT-4.9,COL-A
TT-8939,ThermoTrack,PLANT_01,1773187800000,MCH-005,A,1772922650000,1772922770000,VIBRATION_WARN,4,0.787,169.6,33.14,true,GOOD,89,TT-4.9,COL-B
TT-8940,ThermoTrack,PLANT_01,1773187800000,MCH-005,LINE-A,1772349157000,1772349337000,VIBRATION_WARN,3,0.607,165.8,27.87,true,FAIR,65,TT-5.5,COL-A
TT-8941,ThermoTrack,PLANT_01,1773187800000,MCH-001,A,1772359064000,1772359544000,VIBRATION_WARN,4,0.886,181.3,40.65,true,FAIR,68,TT-4.9,COL-C
TT-8942,ThermoTrack,PLANT_01,1773187800000,MCH-001,A,1773056888000,1773057248000,VIBRATION_WARN,4,0.733,165.6,37.88,true,GOOD,94,TT-5.4,COL-B
TT-8943,ThermoTrack,PLANT_01,1773187800000,MCH-001,A,1772771104000,1772771284000,VIBRATION_WARN,4,0.853,160.4,48.8,true,FAIR,70,TT-5.5,COL-B
TT-8944,ThermoTrack,PLANT_01,1773187800000,MCH-008,B,1772956437000,1772957157000,VIBRATION_WARN,3,0.47,127.6,57.1,true,FAIR,80,TT-5.5,COL-A
TT-8945,ThermoTrack,PLANT_01,1773187800000,MCH-005,A,1772556570000,1772556630000,VIBRATION_WARN,3,0.458,171.8,28.93,true,GOOD,83,TT-4.9,COL-C
TT-8946,ThermoTrack,PLANT_01,1773187800000,MCH-004,B,1773112878000,1773118278000,VIBRATION_WARN,4,0.575,127.4,52.7,true,POOR,38,TT-4.9,COL-C
TT-8947,ThermoTrack,PLANT_01,1773187800000,MCH-004,B,1772913347000,1772913527000,VIBRATION_WARN,4,0.914,176.7,65.42,true,POOR,56,TT-4.9,COL-A
TT-8948,ThermoTrack,PLANT_01,1773187800000,MCH-009,A,1772510346000,1772510766000,VIBRATION_WARN,3,0.771,182.4,6.78,true,FAIR,68,TT-4.9,COL-A
TT-8949,ThermoTrack,PLANT_01,1773187800000,MCH-009,A,1772788149000,1772788389000,VIBRATION_WARN,4,0.637,149.6,5.01,true,POOR,58,TT-5.5,COL-C
TT-8950,ThermoTrack,PLANT_01,1773187800000,MCH-001,A,1772834588000,1772834708000,VIBRATION_WARN,3,0.717,191.1,24.52,true,GOOD,95,TT-4.9,COL-A
TT-8951,ThermoTrack,PLANT_01,1773187800000,MCH-005,LINE-A,1773073342000,1773073582000,VIBRATION_WARN,3,0.435,170.7,35.23,true,POOR,29,TT-5.4,COL-C
TT-8952,ThermoTrack,PLANT_01,1773187800000,MCH-005,A,1772654339000,1772654639000,VIBRATION_WARN,3,0.396,164.9,37.92,true,FAIR,75,TT-5.4,COL-A
TT-8953,ThermoTrack,PLANT_01,1773187800000,MCH-005,A,1772543100000,1772543520000,VIBRATION_WARN,3,0.455,146.2,23.43,true,POOR,32,TT-4.9,COL-B
TT-8954,ThermoTrack,PLANT_01,1773187800000,MCH-008,B,1773132594000,1773132714000,VIBRATION_WARN,3,0.344,171.4,69.66,true,GOOD,92,TT-5.5,COL-A
TT-8955,ThermoTrack,PLANT_01,1773187800000,MCH-008,B,1772836152000,1772836452000,VIBRATION_WARN,4,0.609,145.3,74.47,true,FAIR,77,TT-5.4,COL-C
TT-8956,ThermoTrack,PLANT_01,1773187800000,MCH-005,A,1773171566000,1773172046000,VIBRATION_WARN,3,0.598,151.4,30.86,true,GOOD,83,TT-4.9,COL-C
TT-8957,ThermoTrack,PLANT_01,1773187800000,MCH-001,A,1773087736000,1773087976000,VIBRATION_WARN,3,0.394,178.2,36.81,true,FAIR,66,TT-5.4,COL-B
