record_id,provider_name,factory_id,machine_ref,line_id,recorded_at,record_type,inspection_result,maintenance_status,days_since_last_service,technician_note,manual_confidence,reported_by,repair_action,estimated_downtime_min
MLX-526,MaintaLogix,PLANT_01,MCH-007,LINE-C,2026/03/07 13:16:18,inspection,pass,due_soon,44,Routine inspection completed,high,operator_a,,15
MLX-527,MaintaLogix,PLANT_01,MCH-010,LINE-C,2026/03/02 12:39:19,inspection,requires_attention,not_due,71,Technician review recommended,low,tech_01,,0
MLX-528,MaintaLogix,PLANT_01,MCH-001,LINE-A,2026/03/03 06:30:20,inspection,pass,overdue,34,Routine inspection completed,medium,operator_b,,15
MLX-529,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/05 08:12:27,inspection,minor_defect_found,due_soon,71,Wear observed; monitor next shift,high,operator_b,,0
MLX-530,MaintaLogix,PLANT_01,MCH-001,LINE-A,2026/03/03 20:16:05,inspection,requires_attention,overdue,21,Technician review recommended,medium,operator_a,,0
MLX-531,MaintaLogix,PLANT_01,MCH-007,LINE-C,2026/03/10 18:28:09,inspection,pass,due_soon,33,Routine inspection completed,medium,tech_02,,30
MLX-532,MaintaLogix,PLANT_01,MCH-002,LINE-A,2026/03/04 09:53:43,inspection,pass,overdue,38,Routine inspection completed,medium,shift_lead,,0
MLX-533,MaintaLogix,PLANT_01,MCH-003,LINE-B,2026/03/01 10:10:32,inspection,pass,due_soon,31,Routine inspection completed,medium,shift_lead,,15
MLX-534,MaintaLogix,PLANT_01,MCH-012,B,2026/03/07 07:24:21,inspection,pass,due_soon,82,Routine inspection completed,high,shift_lead,,15
MLX-535,MaintaLogix,PLANT_01,MCH-009,LINE-A,2026/03/05 05:54:38,inspection,pass,due_soon,83,Routine inspection completed,medium,operator_a,,0
MLX-536,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/04 16:07:38,inspection,pass,due_soon,40,Routine inspection completed,low,shift_lead,,30
MLX-537,MaintaLogix,PLANT_01,MCH-009,LINE-A,2026/03/04 20:54:17,inspection,pass,overdue,61,Routine inspection completed,high,operator_b,,30
MLX-538,MaintaLogix,PLANT_01,MCH-008,LINE-B,2026/03/06 20:59:27,inspection,fail,open,46,Routine inspection completed,low,tech_01,,15
MLX-539,MaintaLogix,PLANT_01,MCH-010,LINE-C,2026/03/08 01:38:28,inspection,requires_attention,not_due,53,Technician review recommended,medium,tech_01,,0
MLX-540,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/06 11:11:53,inspection,pass,due_soon,66,Routine inspection completed,low,operator_b,,15
MLX-541,MaintaLogix,PLANT_01,MCH-006,LINE-C,2026/03/04 07:52:16,inspection,minor_defect_found,overdue,24,Wear observed; monitor next shift,high,shift_lead,,0
MLX-542,MaintaLogix,PLANT_01,MCH-010,LINE-C,2026/03/05 22:46:36,inspection,pass,not_due,28,Routine inspection completed,high,tech_02,,15
MLX-543,MaintaLogix,PLANT_01,MCH-005,LINE-A,2026/03/04 12:53:02,inspection,pass,overdue,59,Routine inspection completed,medium,shift_lead,,15
MLX-544,MaintaLogix,PLANT_01,MCH-006,LINE-C,2026/03/04 18:25:51,inspection,pass,due_soon,34,Routine inspection completed,high,operator_b,,0
MLX-545,MaintaLogix,PLANT_01,MCH-005,LINE-A,2026/03/02 23:05:48,inspection,pass,due_soon,5,Routine inspection completed,high,shift_lead,,0
MLX-546,MaintaLogix,PLANT_01,MCH-003,LINE-B,2026/03/09 12:25:26,inspection,requires_attention,not_due,43,Technician review recommended,low,tech_02,,30
MLX-547,MaintaLogix,PLANT_01,MCH-005,A,2026/03/07 13:51:24,inspection,minor_defect_found,not_due,42,Wear observed; monitor next shift,high,tech_02,,0
MLX-548,MaintaLogix,PLANT_01,MCH-011,LINE-D,2026/03/09 01:21:31,inspection,pass,overdue,72,Routine inspection completed,medium,operator_b,,30
MLX-549,MaintaLogix,PLANT_01,MCH-002,LINE-A,2026/03/04 11:01:43,inspection,pass,overdue,17,Routine inspection completed,medium,tech_02,,15
MLX-550,MaintaLogix,PLANT_01,MCH-002,LINE-A,2026/03/01 19:38:43,inspection,fail,overdue,27,Stop and service required,medium,tech_02,,0
MLX-551,MaintaLogix,PLANT_01,MCH-010,LINE-C,2026/03/06 01:55:19,inspection,pass,due_soon,69,Routine inspection completed,medium,operator_b,,30
MLX-552,MaintaLogix,PLANT_01,MCH-003,LINE-B,2026/03/05 11:09:28,inspection,pass,not_due,0,Manual inspection passed; no heat issue observed,medium,operator_a,,0
MLX-553,MaintaLogix,PLANT_01,MCH-009,LINE-A,2026/03/09 19:11:54,inspection,pass,due_soon,45,Routine inspection completed,high,tech_02,,15
MLX-554,MaintaLogix,PLANT_01,MCH-006,LINE-C,2026/03/10 15:40:12,inspection,minor_defect_found,closed,53,Post-maintenance condition improved,high,tech_02,bearing_lubricated,15
MLX-555,MaintaLogix,PLANT_01,MCH-001,LINE-A,2026/03/10 20:37:30,inspection,pass,due_soon,0,Routine inspection completed,low,tech_01,,0
MLX-556,MaintaLogix,PLANT_01,MCH-004,B,2026/03/06 08:39:49,inspection,pass,not_due,43,Routine inspection completed,high,tech_01,,0
MLX-557,MaintaLogix,PLANT_01,MCH-009,LINE-A,2026/03/05 05:44:25,inspection,pass,overdue,43,Routine inspection completed,medium,shift_lead,,0
MLX-558,MaintaLogix,PLANT_01,MCH-012,LINE-B,2026/03/10 02:35:21,inspection,minor_defect_found,due_soon,73,Wear observed; monitor next shift,medium,operator_b,,15
MLX-559,MaintaLogix,PLANT_01,MCH-012,LINE-B,2026/03/08 04:23:43,inspection,requires_attention,overdue,121,Technician review recommended,high,tech_01,,0
MLX-560,MaintaLogix,PLANT_01,MCH-001,LINE-A,2026/03/09 08:52:15,inspection,requires_attention,overdue,27,Technician review recommended,high,operator_b,,15
MLX-561,MaintaLogix,PLANT_01,MCH-010,LINE-C,2026/03/01 21:56:05,inspection,pass,overdue,40,Routine inspection completed,high,operator_b,,15
MLX-562,MaintaLogix,PLANT_01,MCH-005,LINE-A,2026/03/04 13:11:46,inspection,pass,due_soon,41,Routine inspection completed,low,operator_a,,30
MLX-563,MaintaLogix,PLANT_01,MCH-008,LINE-B,2026/03/09 08:10:37,inspection,pass,overdue,4,Routine inspection completed,medium,operator_a,,30
MLX-564,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/07 19:56:37,inspection,pass,overdue,46,Routine inspection completed,high,tech_02,,0
MLX-565,MaintaLogix,PLANT_01,MCH-006,LINE-C,2026/03/04 06:02:54,inspection,pass,due_soon,35,Routine inspection completed,medium,tech_01,,30
MLX-566,MaintaLogix,PLANT_01,MCH-003,LINE-B,2026/03/05 00:49:04,inspection,pass,not_due,23,Manual inspection passed; no heat issue observed,high,tech_01,,30
MLX-567,MaintaLogix,PLANT_01,MCH-003,LINE-B,2026/03/09 08:13:47,inspection,pass,not_due,48,Routine inspection completed,low,tech_02,,15
MLX-568,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/03 23:40:18,inspection,pass,overdue,60,Routine inspection completed,low,shift_lead,,0
MLX-569,MaintaLogix,PLANT_01,MCH-011,LINE-D,2026/03/08 18:13:44,inspection,minor_defect_found,due_soon,64,Wear observed; monitor next shift,high,tech_01,,30
MLX-570,MaintaLogix,PLANT_01,MCH-002,LINE-A,2026/03/03 07:35:58,inspection,pass,overdue,42,Routine inspection completed,high,shift_lead,,0
MLX-571,MaintaLogix,PLANT_01,MCH-009,LINE-A,2026/03/04 23:22:13,inspection,fail,overdue,49,Stop and service required,high,operator_a,,15
MLX-572,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/08 02:00:51,inspection,minor_defect_found,overdue,39,Wear observed; monitor next shift,high,operator_b,,15
MLX-573,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/10 04:32:33,inspection,requires_attention,not_due,19,Technician review recommended,high,tech_02,,30
MLX-574,MaintaLogix,PLANT_01,MCH-012,B,2026/03/02 02:30:37,inspection,pass,overdue,41,Routine inspection completed,high,tech_01,,0
MLX-575,MaintaLogix,PLANT_01,MCH-009,LINE-A,2026/03/10 20:30:24,inspection,pass,not_due,38,Routine inspection completed,high,shift_lead,,0
MLX-576,MaintaLogix,PLANT_01,MCH-005,LINE-A,2026/03/10 13:41:15,inspection,fail,overdue,37,Stop and service required,medium,tech_02,,0
MLX-577,MaintaLogix,PLANT_01,MCH-003,LINE-B,2026/03/01 23:47:18,inspection,minor_defect_found,not_due,8,Wear observed; monitor next shift,high,tech_02,,0
MLX-578,MaintaLogix,PLANT_01,MCH-010,LINE-C,2026/03/01 17:08:20,inspection,pass,not_due,54,Routine inspection completed,low,tech_01,,0
MLX-579,MaintaLogix,PLANT_01,MCH-007,LINE-C,2026/03/09 10:10:26,inspection,pass,overdue,20,Routine inspection completed,medium,tech_02,,15
MLX-580,MaintaLogix,PLANT_01,MCH-008,LINE-B,2026/03/04 11:24:20,inspection,fail,overdue,34,Stop and service required,high,shift_lead,,15
MLX-581,MaintaLogix,PLANT_01,MCH-003,LINE-B,2026/03/02 17:41:03,inspection,pass,overdue,53,Routine inspection completed,low,operator_b,,0
MLX-582,MaintaLogix,PLANT_01,MCH-012,B,2026/03/08 21:43:47,inspection,pass,overdue,68,Routine inspection completed,high,tech_02,,30
MLX-583,MaintaLogix,PLANT_01,MCH-002,LINE-A,2026/03/03 20:16:08,inspection,requires_attention,not_due,15,Technician review recommended,low,operator_b,,30
MLX-584,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/08 06:13:25,inspection,pass,due_soon,52,Routine inspection completed,low,tech_01,,30
MLX-585,MaintaLogix,PLANT_01,MCH-001,LINE-A,2026/03/07 11:17:14,inspection,pass,overdue,22,Routine inspection completed,medium,tech_01,,15
MLX-586,MaintaLogix,PLANT_01,MCH-008,LINE-B,2026/03/02 19:07:09,inspection,fail,due_soon,53,Routine inspection completed,low,tech_02,,30
MLX-587,MaintaLogix,PLANT_01,MCH-007,LINE-C,2026/03/02 00:07:18,inspection,pass,overdue,27,Routine inspection completed,low,tech_02,,0
MLX-588,MaintaLogix,PLANT_01,MCH-011,LINE-D,2026/03/06 20:54:25,inspection,pass,due_soon,70,Routine inspection completed,medium,operator_a,,0
MLX-589,MaintaLogix,PLANT_01,MCH-010,C,2026/03/06 10:16:16,inspection,pass,due_soon,52,Routine inspection completed,low,shift_lead,,15
MLX-590,MaintaLogix,PLANT_01,MCH-012,LINE-B,2026/03/07 15:35:32,inspection,pass,due_soon,74,Routine inspection completed,medium,tech_02,,15
MLX-591,MaintaLogix,PLANT_01,MCH-006,LINE-C,2026/03/06 14:23:33,inspection,pass,overdue,32,Routine inspection completed,high,shift_lead,,30
MLX-592,MaintaLogix,PLANT_01,MCH-009,LINE-A,2026/03/01 20:13:13,inspection,pass,not_due,22,Routine inspection completed,low,tech_02,,30
MLX-593,MaintaLogix,PLANT_01,MCH-006,LINE-C,2026/03/01 02:29:59,inspection,pass,overdue,0,Routine inspection completed,high,shift_lead,,15
MLX-594,MaintaLogix,PLANT_01,MCH-001,LINE-A,2026/03/06 18:58:01,inspection,pass,not_due,39,Routine inspection completed,high,tech_02,,15
MLX-595,MaintaLogix,PLANT_01,MCH-012,LINE-B,2026/03/07 11:31:18,inspection,pass,overdue,52,Routine inspection completed,high,tech_02,,0
MLX-596,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/02 10:59:35,inspection,pass,due_soon,67,Routine inspection completed,medium,tech_02,,0
MLX-597,MaintaLogix,PLANT_01,MCH-007,LINE-C,2026/03/05 11:32:31,inspection,pass,overdue,30,Routine inspection completed,high,operator_b,,15
MLX-598,MaintaLogix,PLANT_01,MCH-010,LINE-C,2026/03/04 18:35:24,inspection,minor_defect_found,not_due,28,Wear observed; monitor next shift,medium,shift_lead,,0
MLX-599,MaintaLogix,PLANT_01,MCH-011,LINE-D,2026/03/09 03:45:34,inspection,requires_attention,not_due,93,Technician review recommended,high,shift_lead,,0
MLX-600,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/07 02:08:46,inspection,pass,due_soon,71,Routine inspection completed,high,shift_lead,,30
MLX-601,MaintaLogix,PLANT_01,MCH-002,LINE-A,2026/03/04 01:24:46,inspection,requires_attention,overdue,67,Routine inspection completed,high,operator_a,,30
MLX-602,MaintaLogix,PLANT_01,MCH-006,LINE-C,2026/03/02 19:19:59,inspection,pass,overdue,19,Routine inspection completed,high,shift_lead,,30
MLX-603,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/02 18:43:27,inspection,pass,not_due,79,Routine inspection completed,high,tech_02,,0
MLX-604,MaintaLogix,PLANT_01,MCH-003,LINE-B,2026/03/05 14:56:22,inspection,pass,not_due,39,Manual inspection passed; no heat issue observed,high,operator_b,,15
MLX-605,MaintaLogix,PLANT_01,MCH-002,LINE-A,2026/03/09 05:19:00,inspection,requires_attention,not_due,2,Technician review recommended,medium,tech_02,,0
MLX-606,MaintaLogix,PLANT_01,MCH-010,LINE-C,2026/03/01 23:26:48,inspection,minor_defect_found,overdue,41,Wear observed; monitor next shift,high,tech_02,,30
MLX-607,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/08 12:59:38,inspection,pass,due_soon,38,Routine inspection completed,high,operator_b,,30
MLX-608,MaintaLogix,PLANT_01,,LINE-C,2026/03/01 13:27:05,inspection,requires_attention,overdue,30,Technician review recommended,high,tech_02,,0
MLX-609,MaintaLogix,PLANT_01,MCH-005,LINE-A,2026/03/03 18:05:23,inspection,minor_defect_found,overdue,55,Wear observed; monitor next shift,high,operator_a,,30
MLX-610,MaintaLogix,PLANT_01,MCH-003,LINE-B,2026/03/05 17:49:56,inspection,pass,not_due,40,Manual inspection passed; no heat issue observed,medium,tech_02,,0
MLX-611,MaintaLogix,PLANT_01,MCH-006,LINE-C,2026/03/01 13:07:40,inspection,pass,not_due,20,Routine inspection completed,high,tech_01,,30
MLX-612,MaintaLogix,PLANT_01,MCH-002,LINE-A,2026/03/08 20:39:09,inspection,minor_defect_found,due_soon,0,Wear observed; monitor next shift,low,operator_a,,30
MLX-613,MaintaLogix,PLANT_01,MCH-012,LINE-B,2026/03/09 05:19:56,inspection,requires_attention,overdue,81,Technician review recommended,medium,operator_a,,0
MLX-614,MaintaLogix,PLANT_01,MCH-010,LINE-C,2026/03/07 05:55:08,inspection,pass,not_due,54,Routine inspection completed,high,operator_a,,30
MLX-615,MaintaLogix,PLANT_01,MCH-003,LINE-B,2026/03/05 11:58:00,inspection,pass,not_due,50,Manual inspection passed; no heat issue observed,high,shift_lead,,0
MLX-616,MaintaLogix,PLANT_01,MCH-012,LINE-B,2026/03/07 21:47:32,inspection,pass,due_soon,64,Routine inspection completed,high,shift_lead,,15
MLX-617,MaintaLogix,PLANT_01,MCH-009,LINE-A,2026/03/04 20:35:13,inspection,minor_defect_found,due_soon,56,Wear observed; monitor next shift,medium,shift_lead,,15
MLX-618,MaintaLogix,PLANT_01,MCH-009,LINE-A,2026/03/04 19:50:42,inspection,minor_defect_found,due_soon,30,Wear observed; monitor next shift,low,operator_a,,30
MLX-619,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/09 06:03:39,inspection,pass,overdue,54,Routine inspection completed,medium,shift_lead,,0
MLX-620,MaintaLogix,PLANT_01,MCH-005,LINE-A,2026/03/06 14:31:06,maintenance,requires_attention,closed,14,Preventive maintenance logged,medium,operator_b,power_panel_checked,10
MLX-621,MaintaLogix,PLANT_01,MCH-012,LINE-B,2026/03/08 21:29:15,maintenance,requires_attention,closed,34,Preventive maintenance logged,low,tech_01,bearing_lubricated,20
MLX-622,MaintaLogix,PLANT_01,MCH-002,LINE-A,2026/03/04 18:56:41,maintenance,requires_attention,open,61,Issue observed by shift technician,high,operator_b,cooling_fan_cleaned,90
MLX-623,MaintaLogix,PLANT_01,MCH-012,LINE-B,2026/03/04 19:57:25,maintenance,requires_attention,open,68,Issue observed by shift technician,medium,shift_lead,bearing_lubricated,120
MLX-624,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/08 09:08:23,maintenance,requires_attention,open,48,Issue observed by shift technician,high,operator_a,,10
MLX-625,MaintaLogix,PLANT_01,MCH-005,LINE-A,2026/03/07 19:14:19,maintenance,requires_attention,in_progress,31,Work order updated,high,operator_a,power_panel_checked,120
MLX-626,MaintaLogix,PLANT_01,MCH-007,LINE-C,2026/03/02 08:06:49,maintenance,not_inspected,in_progress,32,Preventive maintenance logged,medium,tech_01,cooling_fan_cleaned,120
MLX-627,MaintaLogix,PLANT_01,MCH-003,LINE-B,2026/03/10 04:19:37,maintenance,requires_attention,closed,0,Issue observed by shift technician,medium,operator_a,belt_adjustment,120
MLX-628,MaintaLogix,PLANT_01,MCH-002,A,2026/03/04 23:22:45,maintenance,requires_attention,closed,41,Preventive maintenance logged,medium,tech_01,belt_adjustment,45
MLX-629,MaintaLogix,PLANT_01,MCH-001,LINE-A,2026/03/06 05:38:22,maintenance,pass,closed,16,Work order updated,high,operator_a,,0
MLX-630,MaintaLogix,PLANT_01,MCH-006,LINE-C,2026/03/06 13:29:34,maintenance,requires_attention,closed,15,Issue observed by shift technician,high,tech_02,cooling_fan_cleaned,20
MLX-631,MaintaLogix,PLANT_01,MCH-008,LINE-B,2026/03/09 18:26:50,maintenance,pass,in_progress,0,Preventive maintenance logged,high,shift_lead,sensor_replaced,20
MLX-632,MaintaLogix,PLANT_01,MCH-006,LINE-C,2026/03/01 12:25:31,maintenance,not_inspected,closed,33,Preventive maintenance logged,medium,shift_lead,cooling_fan_cleaned,20
MLX-633,MaintaLogix,PLANT_01,MCH-001,LINE-A,2026/03/04 02:18:12,maintenance,not_inspected,closed,0,Preventive maintenance logged,medium,tech_02,bearing_lubricated,45
MLX-634,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/09 02:29:49,maintenance,pass,closed,42,Work order updated,low,tech_01,sensor_replaced,120
MLX-635,MaintaLogix,PLANT_01,MCH-011,LINE-D,2026/03/08 15:55:46,maintenance,not_inspected,closed,123,Post-maintenance observation pending,high,tech_02,,20
MLX-636,MaintaLogix,PLANT_01,MCH-012,LINE-B,2026/03/04 21:34:11,maintenance,pass,in_progress,101,Post-maintenance observation pending,high,operator_b,,90
MLX-637,MaintaLogix,PLANT_01,MCH-005,LINE-A,2026/03/07 15:16:06,maintenance,not_inspected,closed,9,Preventive maintenance logged,medium,operator_a,,10
MLX-638,MaintaLogix,PLANT_01,MCH-010,LINE-C,2026/03/10 03:50:24,maintenance,not_inspected,overdue,13,Post-maintenance observation pending,high,operator_b,power_panel_checked,120
MLX-639,MaintaLogix,PLANT_01,MCH-012,LINE-B,2026/03/09 15:11:20,maintenance,requires_attention,overdue,61,Issue observed by shift technician,high,operator_a,,45
MLX-640,MaintaLogix,PLANT_01,MCH-003,LINE-B,2026/03/01 20:51:07,maintenance,pass,open,46,Issue observed by shift technician,medium,tech_01,,0
MLX-641,MaintaLogix,PLANT_01,MCH-002,LINE-A,2026/03/10 09:25:41,maintenance,pass,closed,67,Preventive maintenance logged,high,operator_a,,45
MLX-642,MaintaLogix,PLANT_01,MCH-010,LINE-C,2026/03/01 21:55:16,maintenance,requires_attention,closed,46,Work order updated,low,tech_01,cooling_fan_cleaned,0
MLX-643,MaintaLogix,PLANT_01,MCH-002,LINE-A,2026/03/02 22:08:34,maintenance,not_inspected,overdue,48,Preventive maintenance logged,medium,tech_01,belt_adjustment,0
MLX-644,MaintaLogix,PLANT_01,MCH-008,B,2026/03/01 02:53:26,maintenance,pass,open,68,Work order updated,low,operator_b,sensor_replaced,90
MLX-645,MaintaLogix,PLANT_01,MCH-002,LINE-A,2026/03/02 01:36:31,maintenance,not_inspected,due_soon,51,Post-maintenance observation pending,medium,tech_02,power_panel_checked,90
MLX-646,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/04 09:12:41,maintenance,requires_attention,closed,39,Post-maintenance observation pending,medium,shift_lead,bearing_lubricated,45
MLX-647,MaintaLogix,PLANT_01,MCH-008,LINE-B,2026/03/05 09:39:50,maintenance,requires_attention,closed,41,Work order updated,medium,operator_a,power_panel_checked,90
MLX-648,MaintaLogix,PLANT_01,MCH-009,LINE-A,2026/03/02 07:15:45,maintenance,pass,closed,84,Work order updated,high,tech_02,belt_adjustment,90
MLX-649,MaintaLogix,PLANT_01,MCH-006,C,2026/03/06 06:51:00,maintenance,requires_attention,in_progress,40,Issue observed by shift technician,medium,operator_a,belt_adjustment,10
MLX-650,MaintaLogix,PLANT_01,MCH-012,LINE-B,2026/03/05 13:38:50,maintenance,not_inspected,open,68,Post-maintenance observation pending,high,shift_lead,belt_adjustment,90
MLX-651,MaintaLogix,PLANT_01,MCH-001,LINE-A,2026/03/10 20:09:53,maintenance,pass,open,0,Preventive maintenance logged,low,tech_01,bearing_lubricated,90
MLX-652,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/06 02:30:15,maintenance,requires_attention,closed,64,Issue observed by shift technician,low,tech_02,sensor_replaced,20
MLX-653,MaintaLogix,PLANT_01,MCH-008,LINE-B,2026/03/04 11:04:03,maintenance,not_inspected,due_soon,68,Preventive maintenance logged,high,shift_lead,power_panel_checked,10
MLX-654,MaintaLogix,PLANT_01,MCH-001,LINE-A,2026/03/03 12:13:21,maintenance,pass,closed,43,Post-maintenance observation pending,low,shift_lead,sensor_replaced,0
MLX-655,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/02 11:22:16,maintenance,pass,in_progress,23,Work order updated,high,shift_lead,bearing_lubricated,45
MLX-656,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/03 17:16:28,maintenance,requires_attention,closed,9,Post-maintenance observation pending,medium,operator_a,belt_adjustment,45
MLX-657,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/08 11:08:53,maintenance,pass,overdue,58,Post-maintenance observation pending,medium,tech_02,,120
MLX-658,MaintaLogix,PLANT_01,MCH-001,LINE-A,2026/03/03 13:39:11,maintenance,requires_attention,closed,72,Post-maintenance observation pending,low,tech_01,sensor_replaced,20
MLX-659,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/04 04:42:57,maintenance,pass,closed,18,Issue observed by shift technician,low,shift_lead,power_panel_checked,120
MLX-660,MaintaLogix,PLANT_01,MCH-001,LINE-A,2026/03/04 22:03:24,maintenance,not_inspected,closed,49,Preventive maintenance logged,high,operator_a,bearing_lubricated,45
MLX-661,MaintaLogix,PLANT_01,MCH-009,LINE-A,2026/03/05 16:55:53,maintenance,not_inspected,open,56,Post-maintenance observation pending,high,operator_a,belt_adjustment,90
MLX-662,MaintaLogix,PLANT_01,MCH-005,LINE-A,2026/03/06 05:58:09,maintenance,pass,closed,0,Preventive maintenance logged,low,tech_02,sensor_replaced,10
MLX-663,MaintaLogix,PLANT_01,MCH-006,LINE-C,2026/03/07 22:15:32,maintenance,pass,not_due,41,Post-maintenance condition improved,medium,tech_01,bearing_lubricated,120
MLX-664,MaintaLogix,PLANT_01,MCH-002,LINE-A,2026/03/02 12:06:59,maintenance,requires_attention,closed,26,Work order updated,medium,shift_lead,sensor_replaced,90
MLX-665,MaintaLogix,PLANT_01,MCH-006,LINE-C,2026/03/10 09:23:26,maintenance,minor_defect_found,closed,2,Post-maintenance condition improved,medium,operator_a,cooling_fan_cleaned,90
MLX-666,MaintaLogix,PLANT_01,MCH-002,LINE-A,2026/03/07 07:15:38,maintenance,requires_attention,open,0,Work order updated,medium,tech_01,,45
